N,n1_adjusted,n2_adjusted
100,86,79
200,151,130
300,201,166
400,242,192
500,275,213
600,302,229
700,326,242
800,346,253
900,363,262
1000,379,270
1100,392,277
1200,404,283
1300,415,288
1400,425,293
1500,433,297
1600,441,301
1700,449,304
1800,455,307
1900,461,310
2000,467,312
2100,472,315
2200,477,317
2300,482,319
2400,486,321
2500,490,322
2600,494,324
2700,497,326
2800,500,327
2900,503,328
3000,506,329
3100,509,331
3200,512,332
3300,514,333
3400,517,334
3500,519,335
3600,521,336
3700,523,336
3800,525,337
3900,527,338
4000,529,339
4100,530,339
4200,532,340
4300,534,341
4400,535,341
4500,537,342
4600,538,343
4700,539,343
4800,541,344
4900,542,344
5000,543,345
5100,544,345
5200,545,345
5300,546,346
5400,547,346
5500,548,347
5600,549,347
5700,550,348
5800,551,348
5900,552,348
6000,553,349
6100,554,349
6200,555,349
6300,555,350
6400,556,350
6500,557,350
6600,558,350
6700,558,351
6800,559,351
6900,560,351
7000,560,351
7100,561,352
7200,562,352
7300,562,352
7400,563,352
7500,563,353
7600,564,353
7700,564,353
7800,565,353
7900,565,353
8000,566,354
8100,566,354
8200,567,354
8300,567,354
8400,568,354
8500,568,355
8600,569,355
8700,569,355
8800,570,355
8900,570,355
9000,570,355
9100,571,356
9200,571,356
9300,572,356
9400,572,356
9500,572,356
9600,573,356
9700,573,356
9800,573,357
9900,574,357
10000,574,357
