A,B,C,D,E,F,mean,std
0,0,1,0,0,0,22.634913,0.2599031270127391
1,0,1,0,0,0,20.745989,0.229438760629062
0,1,1,0,0,0,20.396223000000003,0.22883532347738625
1,0,0,0,0,0,17.513265999999998,0.7577203978011942
0,1,0,0,0,0,17.180434,0.6360740205699333
1,0,1,1,0,1,16.764301,0.5195257148582735
1,0,1,1,1,1,16.590303,0.5547686537566808
0,0,1,1,1,1,16.569019,0.6722808182887564
0,1,1,1,1,0,16.539177,0.43046330815877903
0,0,0,0,0,0,16.515725999999997,0.911354192904164
0,1,1,1,1,1,16.241212,0.4485067012386772
1,0,1,1,0,0,16.060531,0.6163988003224861
0,1,1,1,0,0,16.019869,0.4708913949511076
1,0,1,1,1,0,15.787719,0.6496450723579761
0,0,1,1,0,1,15.682073,0.7339980815172475
0,1,1,1,0,1,15.646679,0.5194722205845083
0,0,1,1,1,0,15.395627000000001,0.7695613489975963
1,0,0,1,0,1,13.559286,1.1119228993972559
1,0,0,1,1,1,13.36068,1.129992413956837
0,1,0,1,1,0,13.25851,0.9325833109701245
0,0,1,1,0,0,13.033455,1.0568623316094674
0,1,0,1,1,1,12.997653,0.9910233521925707
0,1,0,1,0,0,12.667564,1.0612169890762209
1,0,0,1,0,0,12.63032,1.1989184966460398
1,0,0,1,1,0,12.38626,1.1631277609961859
0,1,0,1,0,1,12.236195,1.090275835270598
0,0,0,1,1,1,10.497098,1.281387741628583
0,0,0,1,0,1,9.508807000000001,1.3657576775369047
0,0,0,1,1,0,9.222734,1.461783324998613
0,0,0,1,0,0,6.283138,1.8086255635028494
1,1,0,1,0,0,-26.908554,0.10346172762910931
1,1,1,1,0,1,-26.910594,0.09866984931578644
1,1,1,1,0,0,-26.912338,0.09596450258298637
1,1,0,1,1,0,-26.914362,0.0960792222907742
1,1,0,1,0,1,-26.915168,0.09304186034253616
1,1,1,1,1,0,-26.915599999999998,0.0924286102892389
1,1,1,0,0,0,-26.916358,0.0948197650070912
1,1,0,1,1,1,-26.916446,0.09458598777831735
1,1,0,0,0,0,-26.916938,0.09368827117627906
1,1,1,1,1,1,-26.917402,0.09481610831499046
